2024-01-26 16:10:51.035
sensor: 'C14-10 vs CRef1', channels: 101
sensor: 'C14-11 vs CRef1', channels: 102
sensor: 'C14-12 vs CRef1', channels: 103
sensor: 'C14-13 vs CRef1', channels: 104
sensor: 'C14-14 vs CRef1', channels: 105
sensor: 'C14-15 vs CRef1', channels: 106
sensor: 'C14-16 vs CRef1', channels: 107
sensor: 'C14-17 vs CRef1', channels: 109
sensor: 'C14-18 vs CRef1', channels: 110
sensor: 'C14-19 vs CRef1', channels: 111
sensor: 'LLR3-3(Sat KCl) vs CRef1', channels: 112
sensor: 'LLR3-6(1M KCl) vs CRef1', channels: 113
temperature: 'Omega RTD 4 Wire (Solution)', channels: 108
notes: '30 PPT NaCl, Chicago Data, New Chloride Sensors and LL References'
**********
2024-01-26 16:10:55.673,101,13.362130 mV
2024-01-26 16:10:56.341,102,17.685560 mV
2024-01-26 16:10:57.008,103,27.298750 mV
2024-01-26 16:10:57.675,104,2.133170 mV
2024-01-26 16:10:58.342,105,19.523110 mV
2024-01-26 16:10:59.010,106,12.535300 mV
2024-01-26 16:10:59.677,107,11.475400 mV
2024-01-26 16:11:00.353,108,22.186000 C
2024-01-26 16:11:01.030,109,10.019830 mV
2024-01-26 16:11:01.697,110,22.513930 mV
2024-01-26 16:11:02.364,111,16.761200 mV
2024-01-26 16:11:03.032,112,-125.435540 mV
2024-01-26 16:11:03.699,113,275.183320 mV
2024-01-26 16:12:55.665,101,13.357820 mV
2024-01-26 16:12:56.333,102,17.712250 mV
2024-01-26 16:12:57.000,103,27.299070 mV
2024-01-26 16:12:57.667,104,2.122310 mV
2024-01-26 16:12:58.334,105,19.514810 mV
2024-01-26 16:12:59.002,106,12.516970 mV
2024-01-26 16:12:59.669,107,11.467420 mV
2024-01-26 16:13:00.345,108,22.189000 C
2024-01-26 16:13:01.022,109,10.016160 mV
2024-01-26 16:13:01.689,110,22.507760 mV
2024-01-26 16:13:02.357,111,16.754510 mV
2024-01-26 16:13:03.024,112,-299.096740 mV
2024-01-26 16:13:03.691,113,-79.934550 mV
2024-01-26 16:14:55.665,101,13.355830 mV
2024-01-26 16:14:56.333,102,17.709160 mV
2024-01-26 16:14:57.000,103,27.297970 mV
2024-01-26 16:14:57.667,104,2.116460 mV
2024-01-26 16:14:58.335,105,19.510570 mV
2024-01-26 16:14:59.002,106,12.510480 mV
2024-01-26 16:14:59.669,107,11.463240 mV
2024-01-26 16:15:00.345,108,22.191000 C
2024-01-26 16:15:01.022,109,10.011790 mV
2024-01-26 16:15:01.689,110,22.503640 mV
2024-01-26 16:15:02.357,111,16.749630 mV
2024-01-26 16:15:03.024,112,-267.517150 mV
2024-01-26 16:15:03.691,113,-130.804160 mV
2024-01-26 16:16:55.665,101,13.356980 mV
2024-01-26 16:16:56.333,102,17.709220 mV
2024-01-26 16:16:57.000,103,27.298940 mV
2024-01-26 16:16:57.667,104,2.114400 mV
2024-01-26 16:16:58.334,105,19.509290 mV
2024-01-26 16:16:59.002,106,12.512730 mV
2024-01-26 16:16:59.669,107,11.462020 mV
2024-01-26 16:17:00.344,108,22.192000 C
2024-01-26 16:17:01.021,109,10.012370 mV
2024-01-26 16:17:01.689,110,22.504160 mV
2024-01-26 16:17:02.356,111,16.748340 mV
2024-01-26 16:17:03.023,112,-188.225510 mV
2024-01-26 16:17:03.691,113,-97.360570 mV
2024-01-26 16:18:55.665,101,13.358400 mV
2024-01-26 16:18:56.333,102,17.708070 mV
2024-01-26 16:18:57.000,103,27.301640 mV
2024-01-26 16:18:57.667,104,2.113240 mV
2024-01-26 16:18:58.335,105,19.509350 mV
2024-01-26 16:18:59.002,106,12.509260 mV
2024-01-26 16:18:59.669,107,11.461440 mV
2024-01-26 16:19:00.345,108,22.193000 C
2024-01-26 16:19:01.022,109,10.023360 mV
2024-01-26 16:19:01.689,110,22.504540 mV
2024-01-26 16:19:02.357,111,16.748020 mV
2024-01-26 16:19:03.024,112,-173.751020 mV
2024-01-26 16:19:03.691,113,-100.379910 mV
2024-01-26 16:20:55.665,101,13.360970 mV
2024-01-26 16:20:56.333,102,17.710570 mV
2024-01-26 16:20:57.000,103,27.304150 mV
2024-01-26 16:20:57.667,104,2.112730 mV
2024-01-26 16:20:58.334,105,19.510310 mV
2024-01-26 16:20:59.002,106,12.511180 mV
2024-01-26 16:20:59.669,107,11.463310 mV
2024-01-26 16:21:00.344,108,22.191000 C
2024-01-26 16:21:01.022,109,10.025420 mV
2024-01-26 16:21:01.689,110,22.506920 mV
2024-01-26 16:21:02.356,111,16.749300 mV
2024-01-26 16:21:03.024,112,-80.394840 mV
2024-01-26 16:21:03.691,113,-29.062310 mV
2024-01-26 16:22:55.665,101,13.362580 mV
2024-01-26 16:22:56.333,102,17.711090 mV
2024-01-26 16:22:57.000,103,27.306080 mV
2024-01-26 16:22:57.667,104,2.111630 mV
2024-01-26 16:22:58.334,105,19.511410 mV
2024-01-26 16:22:59.002,106,12.513110 mV
2024-01-26 16:22:59.669,107,11.465040 mV
2024-01-26 16:23:00.345,108,22.190000 C
2024-01-26 16:23:01.022,109,10.028180 mV
2024-01-26 16:23:01.689,110,22.508400 mV
2024-01-26 16:23:02.356,111,16.750590 mV
2024-01-26 16:23:03.024,112,-38.076690 mV
2024-01-26 16:23:03.691,113,4.820240 mV
2024-01-26 16:24:55.665,101,13.363090 mV
2024-01-26 16:24:56.333,102,17.711090 mV
2024-01-26 16:24:57.000,103,27.307750 mV
2024-01-26 16:24:57.667,104,2.110090 mV
2024-01-26 16:24:58.334,105,19.510510 mV
2024-01-26 16:24:59.002,106,12.512410 mV
2024-01-26 16:24:59.669,107,11.464210 mV
2024-01-26 16:25:00.345,108,22.189000 C
2024-01-26 16:25:01.022,109,10.029860 mV
2024-01-26 16:25:01.689,110,22.508530 mV
2024-01-26 16:25:02.357,111,16.750330 mV
2024-01-26 16:25:03.024,112,-37.139210 mV
2024-01-26 16:25:03.691,113,-1.012900 mV
2024-01-26 16:26:55.665,101,13.362960 mV
2024-01-26 16:26:56.333,102,17.710960 mV
2024-01-26 16:26:57.000,103,27.310450 mV
2024-01-26 16:26:57.667,104,2.107710 mV
2024-01-26 16:26:58.334,105,19.509160 mV
2024-01-26 16:26:59.002,106,12.507970 mV
