2024-01-31 16:38:42.604
sensor: 'C14-10 vs CRef1', channels: 101
sensor: 'C14-11 vs CRef1', channels: 102
sensor: 'C14-12 vs CRef1', channels: 103
sensor: 'C14-13 vs CRef1', channels: 104
sensor: 'C14-14 vs CRef1', channels: 105
sensor: 'C14-15 vs CRef1', channels: 106
sensor: 'C14-16 vs CRef1', channels: 107
sensor: 'C14-17 vs CRef1', channels: 109
sensor: 'C14-18 vs CRef1', channels: 110
sensor: 'C14-19 vs CRef1', channels: 111
temperature: 'Omega RTD 4 Wire (Solution)', channels: 108
notes: '30 PPT NaCl, Chicago Data, New Chloride Sensors and (LL References removed)'
**********
2024-01-31 16:38:47.244,101,13.300150 mV
2024-01-31 16:38:47.911,102,18.619380 mV
2024-01-31 16:38:48.578,103,30.721090 mV
2024-01-31 16:38:49.245,104,-1.635470 mV
2024-01-31 16:38:49.913,105,19.838670 mV
2024-01-31 16:38:50.580,106,8.951250 mV
2024-01-31 16:38:51.247,107,11.481120 mV
2024-01-31 16:38:51.923,108,22.530000 C
2024-01-31 16:38:52.600,109,8.084940 mV
2024-01-31 16:38:53.267,110,25.717990 mV
2024-01-31 16:38:53.934,111,17.502070 mV
2024-01-31 16:40:47.235,101,13.276610 mV
2024-01-31 16:40:47.903,102,18.584210 mV
2024-01-31 16:40:48.570,103,30.704570 mV
2024-01-31 16:40:49.237,104,-1.655590 mV
2024-01-31 16:40:49.904,105,19.814940 mV
2024-01-31 16:40:50.572,106,8.916850 mV
2024-01-31 16:40:51.239,107,11.453540 mV
2024-01-31 16:40:51.915,108,22.525000 C
2024-01-31 16:40:52.592,109,8.068870 mV
2024-01-31 16:40:53.259,110,25.693630 mV
2024-01-31 16:40:53.926,111,17.478600 mV
2024-01-31 16:42:47.235,101,13.258160 mV
2024-01-31 16:42:47.903,102,18.558820 mV
2024-01-31 16:42:48.570,103,30.699170 mV
2024-01-31 16:42:49.237,104,-1.670120 mV
2024-01-31 16:42:49.904,105,19.796880 mV
2024-01-31 16:42:50.572,106,8.884830 mV
2024-01-31 16:42:51.239,107,11.430840 mV
2024-01-31 16:42:51.915,108,22.518000 C
2024-01-31 16:42:52.592,109,8.054340 mV
2024-01-31 16:42:53.259,110,25.675430 mV
2024-01-31 16:42:53.926,111,17.460400 mV
2024-01-31 16:44:47.235,101,13.245240 mV
2024-01-31 16:44:47.903,102,18.540680 mV
2024-01-31 16:44:48.570,103,30.693640 mV
2024-01-31 16:44:49.237,104,-1.679570 mV
2024-01-31 16:44:49.904,105,19.784530 mV
2024-01-31 16:44:50.572,106,8.865410 mV
2024-01-31 16:44:51.239,107,11.413870 mV
2024-01-31 16:44:51.915,108,22.512000 C
2024-01-31 16:44:52.592,109,8.043860 mV
2024-01-31 16:44:53.259,110,25.661220 mV
2024-01-31 16:44:53.926,111,17.445490 mV
2024-01-31 16:46:47.235,101,13.234890 mV
2024-01-31 16:46:47.903,102,18.524350 mV
2024-01-31 16:46:48.570,103,30.691770 mV
2024-01-31 16:46:49.237,104,-1.685290 mV
2024-01-31 16:46:49.905,105,19.774440 mV
2024-01-31 16:46:50.572,106,8.852810 mV
2024-01-31 16:46:51.239,107,11.401520 mV
2024-01-31 16:46:51.915,108,22.505000 C
2024-01-31 16:46:52.592,109,8.033630 mV
2024-01-31 16:46:53.259,110,25.649970 mV
2024-01-31 16:46:53.927,111,17.434040 mV
2024-01-31 16:48:47.235,101,13.224920 mV
2024-01-31 16:48:47.903,102,18.508600 mV
2024-01-31 16:48:48.570,103,30.685280 mV
2024-01-31 16:48:49.237,104,-1.689670 mV
